City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
203,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
206,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
210,Anloga,GH,77.04,broken clouds,5.7947,0.8973,Pin Drop Hotel
212,Nabire,ID,85.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
219,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
223,Manadhoo,MV,81.25,overcast clouds,5.7667,73.3833,Bon Abri maldives
225,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
228,Cabo San Lucas,MX,81.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
231,Chiang Kham,TH,85.89,scattered clouds,19.5233,100.3,Rico Resort
232,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
233,Niamey,NE,80.89,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
236,Yulara,AU,83.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
238,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
239,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
244,Shingu,JP,75.56,overcast clouds,33.7333,135.9833,Shingu UI Hotel
245,Aswan,EG,83.8,scattered clouds,24.0934,32.907,Nuba Nile
246,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
247,Muli,MV,81.75,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
249,Palakkodu,IN,86.59,moderate rain,12.3,78.0833,Hotel Mayura Grand
250,Saint-Paul,RE,77.09,clear sky,-21.0096,55.2707,Boucan Canot
254,Karratha,AU,80.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
255,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
259,Tura,IN,82.42,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
260,Dingalan,PH,85.96,overcast clouds,15.3897,121.3929,Fil Dane Inn
265,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
269,Marabba,SD,78.76,broken clouds,12.35,32.1833,
272,Bull Savanna,JM,76.51,overcast clouds,17.8868,-77.5902,Big Red's
276,Shadegan,IR,84.15,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
279,Port Keats,AU,87.58,few clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
282,Galle,LK,81.27,overcast clouds,6.0367,80.217,Amangalla
286,Tanout,NE,85.93,overcast clouds,14.9709,8.8879,
289,Diamantino,BR,75.54,broken clouds,-14.4086,-56.4461,Hotel Delta
290,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
291,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
296,Itoman,JP,88.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
299,Naze,JP,79.72,scattered clouds,28.3667,129.4833,Shishime Hotel
303,Daru,PG,80.47,overcast clouds,-9.0763,143.2092,Daru Lodge
305,Karachi,PK,85.82,smoke,24.9056,67.0822,Sadaat
311,Taitung,TW,86.27,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
316,Loandjili,CG,77.11,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
318,Umm Lajj,SA,84.45,clear sky,25.0213,37.2685,Moon light Furnished Units
320,Majene,ID,84.4,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
322,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
324,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
326,Marawi,PH,80.29,broken clouds,7.9986,124.2928,Derogongan Residence
